,$,Identifier,Semi,LeftParen,Comma,Const,Static,Char,Int,Bool,Assign,LeftBrace,Constant,RightBrace,RightParen,Return,For,Question,Colon,OrOr,AndAnd,Or,Caret,And,Equal,NotEqual,Less,Greater,LessEqual,GreaterEqual,LeftShift,RightShift,Plus,Minus,Star,Div,Mod,DigitSequence,True,False,StringLiteral,PlusPlus,MinusMinus,If,Else
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuncDeclaration,,,,,,FuncDeclaration ::= declarationSpecifiers Identifier FuncDeclarationPrime,FuncDeclaration ::= declarationSpecifiers Identifier FuncDeclarationPrime,FuncDeclaration ::= declarationSpecifiers Identifier FuncDeclarationPrime,FuncDeclaration ::= declarationSpecifiers Identifier FuncDeclarationPrime,FuncDeclaration ::= declarationSpecifiers Identifier FuncDeclarationPrime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuncDeclarationPrime,,,FuncDeclarationPrime ::= initializer Semi,,FuncDeclarationPrime ::= Comma FuncDeclaration,,,,,,FuncDeclarationPrime ::= initializer Semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compoundStatement,,,,,,,,,,,,compoundStatement ::= LeftBrace bI RightBrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bI,,bI ::= blockItemList,bI ::= blockItemList,,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,,bI ::= blockItemList,bI ::= blockItemList,bI ::= ε,,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,bI ::= blockItemList,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockItemList,,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,,,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,blockItemList ::= blockItem bI,
